City ID,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
322,Montepuez,7,MZ,1659581956,97,-13.1256,38.9997,59.92,3.62
323,Mariehamn,0,AX,1659581891,94,60.0973,19.9348,64.26,6.91
324,Ilebo,57,CD,1659582146,89,-4.3167,20.5833,69.24,2.15
325,Ous,43,RU,1659582146,58,60.9058,61.5186,66.24,3.69
326,Krylovskaya,76,RU,1659582147,76,46.3194,39.9711,72.64,4.74
327,Oistins,100,BB,1659582147,81,13.0667,-59.5333,81.52,17.49
328,Hammerfest,40,NO,1659582146,72,70.6634,23.6821,61.25,6.91
329,Kuala Pilah,100,MY,1659582147,72,2.7389,102.2487,82.24,1.83
330,Henties Bay,99,NA,1659581820,95,-22.116,14.2845,53.33,5.55
331,Primo Tapia,52,MX,1659582148,72,32.22,-116.9172,72.95,8.28
332,Pisco,75,PE,1659581929,82,-13.7,-76.2167,60.85,3.44
333,Palmer,0,US,1659582125,77,42.1584,-72.3287,74.75,8.05
334,Pitimbu,62,BR,1659582148,85,-7.4706,-34.8086,75.97,8.97
335,Kiunga,96,PG,1659582149,79,-6.1219,141.2906,82.13,2.33
336,Dingle,100,PH,1659582149,77,10.9995,122.6711,83.75,3.4
337,Wang Saphung,100,TH,1659582150,71,17.301,101.7685,83.95,2.15
338,Vila Velha,75,BR,1659581902,92,-20.3297,-40.2925,73.35,4.61
339,Saint Paul Harbor,48,US,1659581868,68,57.79,-152.4072,60.28,2.82
340,Tilichiki,89,RU,1659582106,67,60.4667,166.1,59.02,13.8
341,Nara,96,JP,1659582150,38,34.6851,135.8049,94.96,11.39
342,Wilkie,100,CA,1659582151,83,52.4168,-108.7014,61.9,12.46
343,Rundu,0,NA,1659582151,55,-17.9333,19.7667,58.05,2.28
344,Skodje,100,NO,1659582151,94,62.5021,6.7034,58.05,4.12
345,Jiaocheng,100,CN,1659582152,90,24.6774,116.1389,77.94,4.68
346,Bandundu Province,0,CD,1659582152,61,-3.3167,17.3667,76.24,3.18
347,Panara,100,IN,1659582152,79,22.0667,78.55,78.08,1.99
348,Kondinskoye,69,RU,1659582153,54,59.6481,67.41,67.53,3.8
349,Shenjiamen,0,CN,1659582153,79,29.9576,122.298,85.32,15.82
350,Pimentel,49,PE,1659581810,87,-6.8367,-79.9342,62.33,13.94
351,Tonantins,90,BR,1659582154,98,-2.8731,-67.8022,72.61,2.84
352,Vung Tau,100,VN,1659582020,76,10.346,107.0843,82.71,9.55
